place
"Salcha, Alaska"
"Lower Lake, CA"
"Hakui, Japan"
"Hāwī, Hawaii"
"Kalifornsky, Alaska"
"Lowell Point, Alaska"
"Rancho Palos Verdes, CA"
"Fish Springs, Nevada"
"Fallbrook, CA"
"Ester, Alaska"
"Lembang, Indonesia"
"Los Ybanez, Texas"
"Moreno Valley, CA"
"Cupertino, CA"
"Union City, CA"
"Springdale, Utah"
"Leavenworth, Washington"
"Puerto El Triunfo, El Salvador"
"Central Aguirre, Puerto Rico"
"2024 Noto Peninsula, Japan Earthquake"
"Goleta, CA"
"Longyearbyen, Svalbard and Jan Mayen"
"Cold Bay, Alaska"
"Taltal, Chile"
"Cianjur, Indonesia"
"Coto Norte, Puerto Rico"
"Nabesna, Alaska"
"Notre-Dame-du-Mont-Carmel, Canada"
"Asan-Maina Village, Guam"
"Old Harbor, Alaska"
"Hamilton, Washington"
"Segundo, Colorado"
"Sunland, CA"
"Antofagasta, Chile"
"Hakkâri, Turkey"
"Gonzales, Texas"
"Mati, Philippines"
"Kivalina, Alaska"
Prince Edward Islands region
"Çukurca, Turkey"
"Dhulikhel, Nepal"
"Bennington, Kansas"
southwest of Africa
"Tatsugō, Japan"
"Baiyin, China"
"Royal City, Washington"
"Sumedang Utara, Indonesia"
"Halfway, Oregon"
"Luquillo, Puerto Rico"
"Koloni, Cyprus"
"Sainte-Marie, Martinique"
"Marihatag, Philippines"
"Chelan, Washington"
"Guanyin, China"
"Singaparna, Indonesia"
"Soledad, CA"
"Cortes, Philippines"
"Jefferson, Oklahoma"
"El Moro, Colorado"
"Estique, Peru"
"Weston, Colorado"
"Solvang, CA"
"Dicabisagan, Philippines"
"Otrada, Russia"
"Erin Springs, Oklahoma"
"Noda, Japan"
"Željezno Polje, Bosnia and Herzegovina"
"Castaic, CA"
"Markleeville, California"
"Twin Bridges, Montana"
"Hanna, Oklahoma"
"Luganville, Vanuatu"
"Baa, Indonesia"
"Seldovia, Alaska"
"Cactus, Texas"
"Mosquito Lake, Alaska"
"Silanga, Philippines"
"Hennessey, Oklahoma"
"Trenggalek, Indonesia"
"Creston, Canada"
"Hawaiian Paradise Park, Hawaii"
"Honomu, Hawaii"
"Candelaria, Argentina"
"Culebra, Puerto Rico"
"Sabana Eneas, Puerto Rico"
"Shimukappu, Japan"
"Kalaoa, Hawaii"
"Fef, Indonesia"
"Scofield, Utah"
"Corozal, Puerto Rico"
"Clinton, Washington"
"Kenny Lake, Alaska"
"Harrison, Montana"
"Warm River, Idaho"
"Saint George, Utah"
"Kirakira, Solomon Islands"
"Abbotsford, Canada"
"Tierras Nuevas Poniente, Puerto Rico"
"West Hills, CA"
"Myitkyina, Myanmar"
"Santa Rosa, CA"
"Alamo, CA"
"Popondetta, Papua New Guinea"
"Tiquisate, Guatemala"
"Puerto Natales, Chile"
"Ravenden, Arkansas"
"Round Mountain, CA"
"Upper Lake, CA"
"Tarragona, Philippines"
"Sleetmute, Alaska"
Chagos Archipelago region
north of Svalbard
"Toledo, Oregon"
"Hydaburg, Alaska"
"Yelizovo, Russia"
"Jenkinsville, South Carolina"
"Eatonton, Georgia"
"Pozo Almonte, Chile"
"Wapanucka, Oklahoma"
"Palora, Ecuador"
"Lorino, Russia"
"Tadine, New Caledonia"
"Lazy Mountain, Alaska"
off the west coast of the South Island of New Zealand
"Puerto Real, Puerto Rico"
"Bigaan, Philippines"
"Amagi, Japan"
"Palo Pinto, Texas"
"Almeria, Philippines"
south of the Aleutian Islands
"Intipucá, El Salvador"
"Walker Lake, Nevada"
"Faliraki, Greece"
South Shetland Islands
"Akçadağ, Turkey"
"Naches, Washington"
"Farkhār, Afghanistan"
"Metinaro, Timor Leste"
"Dabajuro, Venezuela"
"Edna Bay, Alaska"
"Venetie, Alaska"
"Hemet, CA"
"Lares, Puerto Rico"
"Suyan, Philippines"
"Solomon, Alaska"
"Point Hope, Alaska"
"Chuathbaluk, Alaska"
"Otra Banda, Dominican Republic"
"Vallejo, CA"
"Herāt, Afghanistan"
"Grohote, Croatia"
"Guiuan, Philippines"
"Corunna, Canada"
"Johnsville, California"
"Claremont, CA"
