place,mag
"Salcha, Alaska",1.7
"Salcha, Alaska",1.4
"Sutcliffe, Nevada",0.7
"Mentasta Lake, Alaska",2.2
"Pinnacles, CA",1.05
"Salcha, Alaska",1.6
"Pāhala, Hawaii",1.75
"Nikiski, Alaska",1.9
"Salcha, Alaska",1.6
"Salcha, Alaska",1.4
"Salcha, Alaska",2.8
"Pedro Bay, Alaska",-0.67
"Salcha, Alaska",1.4
"Salcha, Alaska",1.5
"Salcha, Alaska",1.0
"Anchor Point, Alaska",1.7
"Salcha, Alaska",2.1
"Salcha, Alaska",1.3
"Salcha, Alaska",2.2
"Angoram, Papua New Guinea",4.7
"San Francisco Zoo, CA",1.75
"Salcha, Alaska",1.2
"Salcha, Alaska",1.7
"Cobb, CA",0.94
"San Juan, Puerto Rico",3.13
"Anza, CA",0.66
"Salcha, Alaska",1.5
"Geysers, CA",0.87
"Aguadilla, Puerto Rico",3.23
"Floriston, California",1.7
"Salcha, Alaska",1.2
"Salcha, Alaska",1.2
"Salcha, Alaska",1.1
"San Juan, Puerto Rico",3.2
"Salcha, Alaska",1.2
"Geysers, CA",1.15
"Salcha, Alaska",1.6
"Salcha, Alaska",1.2
"Salcha, Alaska",1.0
"Velma, Oklahoma",1.57
"Velma, Oklahoma",1.27
"Salcha, Alaska",1.8
"Salcha, Alaska",1.9
"Salcha, Alaska",1.2
"Mammoth Lakes, CA",1.53
"Salcha, Alaska",2.1
"Alamo, Nevada",1.4
"Virginia City, Nevada",1.0
"Ferry, Alaska",1.9
"Toyah, Texas",3.4
"Salcha, Alaska",2.0
"Salcha, Alaska",1.8
"Punta Cana, Dominican Republic",3.38
"Denali National Park, Alaska",1.5
"Salcha, Alaska",1.5
"Port Blair, India",5.0
"Mullan, Idaho",2.31
"Salcha, Alaska",1.4
"San Antonio, Puerto Rico",3.84
"Salcha, Alaska",1.8
"Salcha, Alaska",1.3
"Salcha, Alaska",1.8
"Beatty, Nevada",0.5
"Salcha, Alaska",2.4
"Salcha, Alaska",1.7
"Salcha, Alaska",1.1
"Geysers, CA",0.75
"Salcha, Alaska",1.4
"Salcha, Alaska",1.9
"Harding-Birch Lakes, Alaska",0.5
"Salcha, Alaska",1.1
"Salcha, Alaska",1.3
"Salcha, Alaska",1.3
"Whites City, New Mexico",2.1
"Whites City, New Mexico",1.6
"Salcha, Alaska",1.6
"Salcha, Alaska",1.5
"Pāhala, Hawaii",2.25
"Pāhala, Hawaii",2.1
"Ferry, Alaska",1.7
"Salcha, Alaska",0.9
"Salcha, Alaska",1.6
"Geysers, CA",1.79
"Cobb, CA",0.48
"Salcha, Alaska",1.2
"Cobb, CA",1.25
"San Antonio de los Cobres, Argentina",4.4
"Salcha, Alaska",1.5
"Salcha, Alaska",1.7
"Salcha, Alaska",2.0
"Salcha, Alaska",1.8
"Amber, Oklahoma",1.18
"Salcha, Alaska",1.9
"Salcha, Alaska",1.8
"Geysers, CA",1.1
"Salcha, Alaska",1.1
"Geysers, CA",2.08
"Salcha, Alaska",1.8
"Cobb, CA",0.51
"Geysers, CA",1.31
"Salcha, Alaska",1.6
"Salcha, Alaska",0.8
"Salcha, Alaska",1.0
"Salcha, Alaska",1.8
"Geysers, CA",0.82
"Salcha, Alaska",1.1
"Salcha, Alaska",0.7
"Mammoth Lakes, CA",2.12
"Salcha, Alaska",1.2
"Salcha, Alaska",1.3
"Salcha, Alaska",1.1
"Velma, Oklahoma",1.32
"Salcha, Alaska",1.0
"Salcha, Alaska",1.8
"Salcha, Alaska",1.4
"Salcha, Alaska",1.5
"Salcha, Alaska",2.1
"Salcha, Alaska",2.3
"Harding-Birch Lakes, Alaska",1.2
"Geysers, CA",0.89
"Salcha, Alaska",1.1
"Salcha, Alaska",1.3
"Ninilchik, Alaska",2.6
"Salcha, Alaska",1.8
"Geysers, CA",1.82
"Toyah, Texas",2.0
"Salcha, Alaska",3.4
"Skwentna, Alaska",1.6
"Salcha, Alaska",1.2
"Salcha, Alaska",2.6
"Edgefield, Louisiana",2.7
"Salcha, Alaska",0.9
"Salcha, Alaska",1.0
"Salcha, Alaska",0.9
"Sterling, Alaska",2.5
"Salcha, Alaska",1.4
"Salcha, Alaska",1.7
"Anchorage, Alaska",1.3
"Salcha, Alaska",1.0
"Salcha, Alaska",1.9
"Salcha, Alaska",1.6
"Salcha, Alaska",1.0
"Geysers, CA",1.1
"Salcha, Alaska",1.4
"Salcha, Alaska",0.9
"Salcha, Alaska",1.1
"Salcha, Alaska",1.4
"Salcha, Alaska",2.2
"Salcha, Alaska",1.3
"Salcha, Alaska",1.3
"Salcha, Alaska",1.2
"Banning, CA",1.26
"Salcha, Alaska",2.5
"Salcha, Alaska",1.0
"Salcha, Alaska",2.4
"Salcha, Alaska",3.1
"Salcha, Alaska",1.2
"Salcha, Alaska",0.8
"Salcha, Alaska",1.1
"Salcha, Alaska",1.3
"Salcha, Alaska",0.8
"Toyah, Texas",1.8
"Salcha, Alaska",0.9
"Salcha, Alaska",1.9
"Gürün, Turkey",4.2
"Salcha, Alaska",0.9
"Toledo, Washington",1.62
"Salcha, Alaska",1.1
"Salcha, Alaska",1.0
"Salcha, Alaska",2.2
"Salcha, Alaska",0.8
"Salcha, Alaska",1.3
"Salcha, Alaska",1.2
"Salcha, Alaska",1.1
"Salcha, Alaska",0.7
"Salcha, Alaska",1.3
"Salcha, Alaska",1.3
"Salcha, Alaska",1.2
"Geysers, CA",1.08
"Salcha, Alaska",1.2
"Salcha, Alaska",1.5
"Salcha, Alaska",1.3
"Salcha, Alaska",1.8
"Idyllwild, CA",1.64
"Ie, Japan",4.4
"Hermleigh, Texas",2.1
"Idyllwild, CA",2.11
"Idyllwild, CA",0.78
"Volcano, Hawaii",0.87
"Idyllwild, CA",1.26
"Idyllwild, CA",0.36
"Salcha, Alaska",2.0
"Salcha, Alaska",1.8
"Salcha, Alaska",2.0
"Salcha, Alaska",2.2
"Salcha, Alaska",1.7
"Salcha, Alaska",2.5
"Salcha, Alaska",1.4
"Salcha, Alaska",1.7
"Salcha, Alaska",2.0
"Guayanilla, Puerto Rico",2.31
"Salcha, Alaska",2.1
"Salcha, Alaska",1.5
"Salcha, Alaska",1.9
"Salcha, Alaska",1.8
"Geysers, CA",0.53
"Salcha, Alaska",1.9
"Salcha, Alaska",2.0
"Salcha, Alaska",2.3
"Salcha, Alaska",2.3
"Salcha, Alaska",3.7
"Salcha, Alaska",5.3
"Pāhala, Hawaii",2.00999999
"Denali National Park, Alaska",1.1
"Gilroy, CA",0.78
"Toyah, Texas",1.5
"Borrego Springs, CA",1.08
"Nanwalek, Alaska",1.9
"Skwentna, Alaska",2.0
"Borrego Springs, CA",0.97
"Ninilchik, Alaska",2.0
"Ninilchik, Alaska",1.6
"Butte, Montana",1.13
"Pedro Bay, Alaska",1.8
"Port Lions, Alaska",1.8
"Guánica, Puerto Rico",2.63
"Sebastopol, CA",1.14
"Home Gardens, CA",0.98
"Alamo, Nevada",1.8
"Pāhala, Hawaii",1.70000005
"Pāhala, Hawaii",1.75999999
"Home Gardens, CA",1.02
"Virginia City, Nevada",0.8
"Port Ludlow, Washington",1.72
"Tehachapi, CA",1.07
"Denali National Park, Alaska",1.1
"Geysers, CA",1.32
"Mojave, CA",1.54
"Butte, Montana",1.45
"Tyonek, Alaska",2.3
"King Cove, Alaska",2.4
"West Yellowstone, Montana",0.24
"Coso Junction, CA",0.97
"Pāhala, Hawaii",2.05999994
"Geysers, CA",1.61
"Salcha, Alaska",2.3
"Yucca Valley, CA",1.31
"Velma, Oklahoma",1.55
"McCarthy, Alaska",0.9
"Edgefield, Louisiana",2.7
"Geysers, CA",0.76
"Lake Elsinore, CA",0.63
"Honoka‘a, Hawaii",2.19
"Amber, Oklahoma",1.3
"Velma, Oklahoma",1.41
"Kurio, Japan",4.3
"Anderson Springs, CA",1.51
"Qaraçala, Azerbaijan",4.8
"Joshua Tree, CA",1.55
"Joshua Tree, CA",1.28
"Geysers, CA",1.19
"McCarthy, Alaska",1.3
"Loma, Colorado",1.7
"Bowangshan, China",4.6
"Yucca Valley, CA",1.22
"Petersville, Alaska",1.4
"Bingtuan Sanshiliu Tuan, China",4.5
"Geysers, CA",1.09
"Indian Springs, Nevada",0.0
"Ackerly, Texas",2.5
"Geysers, CA",0.77
"Geysers, CA",0.96
"Prague, Oklahoma",1.5
"Geysers, CA",2.12
"Geysers, CA",1.12
"Pravda, Russia",4.6
"Geysers, CA",0.86
"Skwentna, Alaska",1.9
"Midland, Texas",1.7
"King Salmon, Alaska",-0.02
"King Salmon, Alaska",-0.43
"Government Camp, Oregon",0.35
"Alamo, Nevada",2.2
"Geysers, CA",0.91
"Government Camp, Oregon",1.02
"Walker, California",1.7
"Houma, Tonga",4.2
"Tatitlek, Alaska",1.5
"Walker, California",1.5
"Toyah, Texas",1.7
"Susitna North, Alaska",1.4
"Willow, Alaska",1.2
"Ugashik, Alaska",1.7
"King Salmon, Alaska",-0.45
"Salinas, Puerto Rico",2.07
"Ferndale, California",3.3
"Petersville, Alaska",1.5
"Morongo Valley, CA",0.89
"Denali National Park, Alaska",1.9
"Ouzinkie, Alaska",3.3
"Oxílithos, Greece",4.5
"New Pine Creek, California",0.8
"Denali National Park, Alaska",1.0
"Warner Springs, CA",0.49
"Big Lake, Alaska",1.0
"Nanwalek, Alaska",2.1
"Valdez, Alaska",1.4
"Whittier, Alaska",1.2
"Geysers, CA",1.14
"Denali National Park, Alaska",0.9
"Chenega, Alaska",1.9
"Kokhanok, Alaska",3.0
"Alum Rock, CA",0.84
"Karluk, Alaska",0.47
"Karluk, Alaska",0.38
"King Salmon, Alaska",-0.47
"Glennallen, Alaska",1.6
"Paxson, Alaska",1.1
"Mammoth Lakes, CA",0.74
"Madrigal, Peru",4.8
"Susitna, Alaska",1.3
"Paxson, Alaska",1.2
"Paxson, Alaska",1.4
"Toyah, Texas",1.9
"Geysers, CA",1.02
"Round Valley, CA",1.15
"Pāhala, Hawaii",2.0
"Pāhala, Hawaii",3.3
"Cartago, Colombia",5.6
"Lakeport, CA",1.59
"Nikolski, Alaska",0.92
"Beatty, Nevada",0.0
"Houma, Tonga",4.4
"Amber, Oklahoma",1.78
"Whites City, New Mexico",1.6
"Pāhala, Hawaii",2.8
"Willits, CA",1.49
"Mentasta Lake, Alaska",2.4
"Dillon, Montana",1.45
"Geysers, CA",0.7
"Amber, Oklahoma",1.39
"Cobb, CA",1.17
"Viola, CA",1.68
"San Ardo, CA",0.89
"Karluk, Alaska",1.4
"Kailua-Kona, Hawaii",2.01
"Karluk, Alaska",-0.72
"Karluk, Alaska",-0.14
"Garden City, Texas",2.2
"Karluk, Alaska",-0.5
"Karluk, Alaska",-0.15
"Antofagasta de la Sierra, Argentina",5.1
"Anchor Point, Alaska",1.7
"Pearsall, Texas",2.3
"Searles Valley, CA",1.81
"Isangel, Vanuatu",5.0
"Toyah, Texas",1.6
"Susitna North, Alaska",1.5
"Pāhala, Hawaii",1.59
"Yorba Linda, CA",1.57
"Toyah, Texas",1.5
"Port Blair, India",4.8
"Borrego Springs, CA",0.49
"Yucaipa, CA",1.96
"Hebgen Lake Estates, Montana",0.26
"Ridgecrest, CA",0.9
"Rachel, Nevada",0.4
"San Ardo, CA",0.81
"Karluk, Alaska",-0.62
"Challis, Idaho",2.5
"Challis, Idaho",3.53
"Searles Valley, CA",1.41
"Karluk, Alaska",-0.63
"Geysers, CA",1.12
"Searles Valley, CA",1.15
"Hasaki, Japan",4.5
"Tres Pinos, CA",1.2
"Geysers, CA",0.91
"Geysers, CA",0.75
"Tatitlek, Alaska",2.4
"Karluk, Alaska",-0.81
"Boonville, CA",0.81
"Geysers, CA",1.04
"Butembo, Democratic Republic of the Congo",4.5
"Hebgen Lake Estates, Montana",0.55
"Sola, Vanuatu",5.5
"Beluga, Alaska",-0.18
"Geysers, CA",0.76
"Searles Valley, CA",1.05
"Colma, CA",0.44
"Virginia City, Nevada",0.2
"Julian, CA",0.8
"Cobb, CA",0.71
"Lindsay, Texas",2.1
"Pāhala, Hawaii",2.00999999
"Morongo Valley, CA",0.91
"Volcano, Hawaii",1.82000005
"Pāhala, Hawaii",1.68
"Frazier Park, CA",0.81
"Sterling, Alaska",1.8
"Pāhala, Hawaii",1.42
"Willits, CA",1.41
"Pāhala, Hawaii",1.80999994
"Nellis Air Force Base, Nevada",1.3
"Geysers, CA",1.61
"Geysers, CA",0.89
"Idyllwild, CA",0.92
"Geysers, CA",1.49
"Karluk, Alaska",-0.91
"Toyah, Texas",1.7
"Dutch Harbor, Alaska",0.09
"Valencia, CA",1.01
"Pāhala, Hawaii",1.90999997
"Dutch Harbor, Alaska",-0.11
"Cobb, CA",0.47
"Geysers, CA",0.73
"Arecibo, Puerto Rico",2.71
"Imperial, CA",1.47
"Pāhala, Hawaii",1.75
"Geysers, CA",0.74
"Mentone, Texas",2.3
"Tres Pinos, CA",0.62
"Beatty, Nevada",1.4
"Pāhala, Hawaii",1.53
"Lincoln, Montana",0.69
"Geysers, CA",0.09
"Indios, Puerto Rico",2.23
"Pāhala, Hawaii",2.79
"Cobb, CA",0.33
"Sutcliffe, Nevada",0.9
"Geysers, CA",0.65
"Toyah, Texas",1.9
"Meadow Lakes, Alaska",1.9
"Toyah, Texas",2.7
"Geysers, CA",0.64
"Kailua-Kona, Hawaii",3.42
"Anza, CA",0.64
"Borrego Springs, CA",0.59
"Indian Springs, Nevada",-0.2
"Indian Springs, Nevada",0.8
"Tiptonville, Tennessee",1.43
"Valdez, Alaska",1.6
"Pāhala, Hawaii",2.17000008
"Indian Springs, Nevada",0.8
"Taloqan, Afghanistan",4.1
"Oakland, CA",1.69
"Hermleigh, Texas",1.7
"Petersville, Alaska",1.4
western Indian-Antarctic Ridge,4.6
"Honaunau-Napoopoo, Hawaii",2.41
"Borrego Springs, CA",0.86
"Toyah, Texas",1.8
"San Antonio de los Cobres, Argentina",4.3
"Toyah, Texas",2.8
"Geysers, CA",0.63
"Geysers, CA",1.11
"Geysers, CA",1.94
"Cobb, CA",0.21
"Amber, Oklahoma",0.93
"Petersville, Alaska",1.9
"Aromas, CA",1.04
"Honaunau-Napoopoo, Hawaii",1.85000002
"La Parguera, Puerto Rico",2.24
"Salamatof, Alaska",1.3
"Geysers, CA",0.69
"Princeton, Canada",2.0
"Westbrook, Texas",2.4
"Mina, Nevada",2.3
"Hebgen Lake Estates, Montana",0.43
"Fangale’ounga, Tonga",6.4
"Pariaman, Indonesia",4.6
"Westbrook, Texas",1.9
"Karluk, Alaska",1.0
"Hermleigh, Texas",1.8
"Geysers, CA",0.4
"San Ardo, CA",1.26
"Delta, B.C., MX",2.23
"Virginia City, Montana",1.08
"Tobelo, Indonesia",4.4
"Cobb, CA",0.48
"Ugashik, Alaska",1.8
"Atascadero, CA",1.32
"Pedro Bay, Alaska",-0.71
"Cobb, CA",1.05
"Cobb, CA",0.48
"Hermleigh, Texas",1.8
"Çelikhan, Turkey",4.1
"Winchester, CA",0.41
"Lincoln, Montana",0.87
"Unity, Oregon",2.0
"Borrego Springs, CA",1.29
"Borrego Springs, CA",1.01
"Borrego Springs, CA",1.85
"Four Mile Road, Alaska",1.8
"Minto, Alaska",1.5
"Beatty, Nevada",0.8
"Beatty, Nevada",-0.2
"Tatitlek, Alaska",1.7
"Ninilchik, Alaska",2.5
"Hulbert, Oklahoma",1.64
"Searles Valley, CA",0.97
"Leilani Estates, Hawaii",2.32
"Pahrump, Nevada",-0.1
"Thousand Palms, CA",1.64
"Geysers, CA",0.58
"Hermleigh, Texas",2.8
"Hermleigh, Texas",2.3
"Aromas, CA",1.7
"Willow, Alaska",1.7
"Hermleigh, Texas",1.9
"Cabazon, CA",1.1
"Waimea, Hawaii",1.79
"Anza, CA",0.45
"Hermleigh, Texas",2.5
"Cantwell, Alaska",1.7
"Mentone, Texas",1.6
"Cobb, CA",0.22
"Willow, Alaska",1.6
"Anamizu, Japan",4.5
"Poso, Indonesia",4.6
"Anderson Springs, CA",0.8
"Poso, Indonesia",5.2
"Geysers, CA",1.1
"Kobuk, Alaska",2.6
"Ugashik, Alaska",2.5
"Toyah, Texas",1.6
"Ojai, CA",0.87
"La Quinta, CA",0.6
"Ninilchik, Alaska",1.5
"Pahrump, Nevada",0.6
"Indian Springs, Nevada",-0.1
"Adak, Alaska",1.39
"Parkfield, CA",0.56
"Atka, Alaska",3.0
"Geysers, CA",1.16
"Pāhala, Hawaii",1.79999995
"Ackerly, Texas",1.9
"Nikolski, Alaska",1.45
"Nikolski, Alaska",-0.35
"Hihifo, Tonga",5.0
"Susitna North, Alaska",1.3
"Cobb, CA",0.72
"Cobb, CA",0.28
"Geysers, CA",1.06
"Indian Springs, Nevada",-0.2
"Unalaska, Alaska",0.04
"Nile, Washington",0.79
"Ocotillo, CA",0.68
"Skwentna, Alaska",2.6
"Whites City, New Mexico",1.7
"Pahrump, Nevada",-0.2
"Holtville, CA",1.44
"Pahrump, Nevada",-0.2
"Geysers, CA",1.15
"Pāhala, Hawaii",1.96000004
"Holtville, CA",1.88
"Holtville, CA",1.68
"Indian Springs, Nevada",0.7
"Pāhala, Hawaii",1.73000002
"Indian Springs, Nevada",-0.3
"Fritz Creek, Alaska",1.7
"Pahrump, Nevada",-0.1
"Denali National Park, Alaska",1.9
"Indian Springs, Nevada",-0.2
"Indian Springs, Nevada",1.7
"Indian Springs, Nevada",0.9
"Pahrump, Nevada",0.3
"Indian Springs, Nevada",-0.2
"Pahrump, Nevada",-0.1
"Indian Springs, Nevada",1.3
"Santa María Zapotitlán, Mexico",5.0
"Pahrump, Nevada",-0.1
"Pahrump, Nevada",-0.2
"Pahrump, Nevada",0.7
"Indian Springs, Nevada",-0.2
"Whites City, New Mexico",2.7
"Geysers, CA",1.08
"Indian Springs, Nevada",-0.2
"Pahrump, Nevada",0.8
"Pahrump, Nevada",0.0
"Indian Springs, Nevada",-0.2
"Indian Springs, Nevada",0.1
"Pahrump, Nevada",-0.2
"Indian Springs, Nevada",-0.2
"Pahrump, Nevada",-0.1
"Pahrump, Nevada",-0.1
"Pahrump, Nevada",0.1
"Pahrump, Nevada",0.2
"Indian Springs, Nevada",-0.1
"Pahrump, Nevada",-0.1
"Denali National Park, Alaska",1.9
"Indian Springs, Nevada",-0.1
"Indian Springs, Nevada",-0.2
"Trapper Creek, Alaska",1.2
"Geysers, CA",0.87
"Pahrump, Nevada",0.0
"Indian Springs, Nevada",-0.1
"Indian Springs, Nevada",-0.1
"Indian Springs, Nevada",0.0
"Indian Springs, Nevada",0.5
"Indian Springs, Nevada",1.2
"Indian Springs, Nevada",0.1
"Indian Springs, Nevada",1.2
"Pahrump, Nevada",0.6
"Indian Springs, Nevada",0.1
"Pony, Montana",0.25
"Cobb, CA",0.78
"Anza, CA",0.94
"Pāhala, Hawaii",1.77999997
"Cobb, CA",0.73
"Toyah, Texas",2.9
"Ashford, Washington",0.3
"Anderson Springs, CA",0.52
"Lamitan, Philippines",4.7
South Sandwich Islands region,5.7
"Geysers, CA",0.73
"Kelly, Wyoming",0.64
"Pāhala, Hawaii",1.75999999
"Indian Springs, Nevada",-0.1
"Indian Springs, Nevada",-0.2
"Edmond, Oklahoma",0.82
"Cobb, CA",0.72
"Chickaloon, Alaska",1.8
"Indian Springs, Nevada",-0.1
"Ackerly, Texas",2.2
"Pāhala, Hawaii",2.05999994
"Pāhala, Hawaii",1.75
"Pahrump, Nevada",-0.1
"Tres Pinos, CA",1.06
"Indian Springs, Nevada",-0.3
"Coso Junction, CA",1.3
"Holtville, CA",1.93
"Indian Springs, Nevada",-0.3
"Mossyrock, Washington",0.59
"McCarthy, Alaska",1.5
"Pāhala, Hawaii",2.25
"Petersville, Alaska",1.6
"Mammoth Lakes, CA",0.43
"Trapper Creek, Alaska",1.7
"Paxson, Alaska",1.6
"Cobb, CA",0.41
"Two Rivers, Alaska",1.1
"Cobb, CA",0.9
"Dover, Oklahoma",1.61
"Amber, Oklahoma",0.89
"Guánica, Puerto Rico",2.25
"Mammoth Lakes, CA",0.81
"San Juan Bautista, CA",0.37
"Whites City, New Mexico",1.9
"Cobb, CA",1.35
"Akutan, Alaska",0.63
"Cobb, CA",-0.28
"Geysers, CA",0.8
"Cantwell, Alaska",1.4
"Tres Pinos, CA",0.56
"Alamo, Nevada",2.2
"Geysers, CA",0.78
"Goldfield, Nevada",1.3
"Cobb, CA",0.93
"Tatitlek, Alaska",1.9
"Toyah, Texas",1.7
"Petersville, Alaska",1.9
"Cobb, CA",0.72
"Pāhala, Hawaii",2.11999989
"Kanarraville, Utah",1.37
"Geysers, CA",1.13
"Anchor Point, Alaska",2.8
"Stevens Village, Alaska",1.7
"Volcano, Hawaii",2.14
"Ashford, Washington",0.52
"Stevens Village, Alaska",1.5
"Cobb, CA",0.76
"Cloverdale, CA",1.15
"Loma Linda, CA",0.84
"Ackerly, Texas",1.7
"Geysers, CA",0.93
"Pawnee, Oklahoma",0.96
"Pāhala, Hawaii",1.83000004
"Geysers, CA",0.47
"Ridgecrest, CA",1.54
"Ackerly, Texas",1.6
"Yucca Valley, CA",0.9
"Hermleigh, Texas",2.7
"Pāhala, Hawaii",2.3
"Petrolia, CA",2.16
north of Franz Josef Land,4.7
"Banning, CA",0.76
"Searles Valley, CA",0.72
"Hermleigh, Texas",2.6
"Cloverdale, CA",0.27
"Cobb, CA",1.1
South Sandwich Islands region,5.3
"Cobb, CA",0.78
"Desert Hot Springs, CA",0.95
"Glenwood, Utah",1.53
"Houma, Tonga",5.8
"Guánica, Puerto Rico",2.29
"Borrego Springs, CA",0.95
"Banning, CA",1.41
"Anderson, Alaska",1.7
"Whites City, New Mexico",1.5
"Adak, Alaska",0.96
"Coupeville, Washington",3.26
"Helena Valley Northeast, Montana",1.04
"Chiniak, Alaska",3.0
"Indian Springs, Nevada",-0.2
"Labuan Bajo, Indonesia",4.7
"Waynoka, Oklahoma",1.76
"Geysers, CA",0.76
south of the Fiji Islands,4.8
"Minersville, Utah",1.52
"Geysers, CA",1.06
"Whites City, New Mexico",1.7
"Whites City, New Mexico",2.0
"Cobb, CA",0.44
"Pedro Bay, Alaska",2.3
"Ocotillo Wells, CA",2.92
"Barcelona, Philippines",4.4
"Cantwell, Alaska",1.8
"Geysers, CA",1.07
"Geysers, CA",1.57
"Amber, Oklahoma",1.49
"Westbrook, Texas",2.1
"Whites City, New Mexico",2.4
"Isla Vista, CA",1.49
"Edmond, Oklahoma",1.44
"Geysers, CA",1.32
"Geysers, CA",1.29
"Glenwood, Utah",1.77
"Nikolski, Alaska",0.98
"Nikolski, Alaska",0.91
"Falls City, Texas",1.8
"Yigo Village, Guam",4.5
"Fox, Alaska",1.5
"Adak, Alaska",1.18
"Sado, Japan",4.4
"Pondaguitan, Philippines",4.4
"Little Lake, CA",1.46
"Ternate, Indonesia",4.5
"Geysers, CA",0.28
"Bengkulu, Indonesia",4.6
"Toms Place, CA",1.01
"Barcelona, Philippines",4.6
"Toms Place, CA",1.01
"Borrego Springs, CA",0.74
"Geysers, CA",0.06
"Falls City, Texas",2.3
"Borrego Springs, CA",1.53
"Borrego Springs, CA",1.33
"Borrego Springs, CA",1.5
"Borrego Springs, CA",1.47
"Borrego Springs, CA",1.74
"Borrego Springs, CA",1.64
"Whites City, New Mexico",1.7
"Pāhala, Hawaii",2.8
"Minto, Alaska",1.4
"Cobb, CA",0.71
"Boron, CA",1.43
"Warner Springs, CA",0.64
"Geysers, CA",1.14
"Forsan, Texas",2.0
"Borrego Springs, CA",1.69
"Easton, Washington",1.53
"Geysers, CA",0.93
"Skwentna, Alaska",1.9
"Pedro Bay, Alaska",-0.35
"Charlotte Amalie, U.S. Virgin Islands",4.02
"Whites City, New Mexico",2.5
"Amber, Oklahoma",1.95
"Clam Gulch, Alaska",1.8
"Borrego Springs, CA",0.87
"Geysers, CA",0.98
"Salinas, Puerto Rico",2.31
"Cobb, CA",1.1
"Trout Lake, Washington",2.09
"West Yellowstone, Montana",0.09
"‘Ohonua, Tonga",4.9
"Geysers, CA",1.25
"San Martin, CA",0.51
"Cobb, CA",0.68
"Geysers, CA",1.32
"Denali National Park, Alaska",1.8
"Ferry, Alaska",1.7
"Johannesburg, CA",1.24
southeast central Pacific Ocean,5.1
"Anza, CA",0.54
"La Tirana, Chile",4.4
"Pāhala, Hawaii",2.11999989
"Coso Junction, CA",0.73
"Geysers, CA",1.22
"Stanley, Idaho",2.1
"Fishhook, Alaska",1.5
"Pāhala, Hawaii",2.31999993
"La Parguera, Puerto Rico",2.46
"Petersville, Alaska",1.9
"Hidden Valley Lake, CA",1.59
"Rancho San Diego, CA",1.37
"Butte, Montana",1.32
"Geysers, CA",1.48
"Geysers, CA",0.4
"Geysers, CA",1.02
"Geysers, CA",2.19
off the west coast of northern Sumatra,4.1
"Butte, Montana",1.09
"Mojave, CA",1.31
"Mammoth Lakes, CA",0.03
"Guánica, Puerto Rico",2.02
"Boron, CA",1.44
"Volcano, Hawaii",1.79999995
"Toyah, Texas",1.8
"Karluk, Alaska",-0.18
"Catoosa, Oklahoma",1.43
"Susitna, Alaska",1.7
"Geysers, CA",0.39
"Virginia City, Montana",1.06
"Adak, Alaska",1.01
"Adak, Alaska",0.99
"Adak, Alaska",1.03
"Adak, Alaska",0.99
"Adak, Alaska",0.73
"Maria Antonia, Puerto Rico",2.51
"Adak, Alaska",3.0
"Idyllwild, CA",1.87
"Fern Forest, Hawaii",2.22
"Abepura, Indonesia",4.9
"Karluk, Alaska",1.47
"Karluk, Alaska",1.15
"Adak, Alaska",1.21
"Toyah, Texas",1.4
"Geysers, CA",0.28
"Atka, Alaska",1.8
"Tehachapi, CA",1.0
"Adak, Alaska",0.97
"Adak, Alaska",0.83
"Inarajan Village, Guam",4.4
"Cobb, CA",0.72
"Levuka, Fiji",4.4
"Coyanosa, Texas",2.0
"Herlong, California",0.7
"Geysers, CA",0.77
"Whites City, New Mexico",1.3
"Glacier View, Alaska",1.1
"Gorontalo, Indonesia",4.5
"Denali National Park, Alaska",2.0
"Geysers, CA",0.97
"Geysers, CA",0.74
"Geysers, CA",0.75
"Pāhala, Hawaii",1.86000001
"Pagan region, Northern Mariana Islands",4.4
"Whites City, New Mexico",1.8
"San Jacinto, CA",0.32
"Geysers, CA",1.09
"Day Valley, CA",1.28
"Toyah, Texas",1.8
"Cloverdale, CA",0.26
"Indio, CA",1.08
"Banda Aceh, Indonesia",4.1
"Salamatof, Alaska",-0.03
"Toyah, Texas",1.6
"Toyah, Texas",2.0
"Meulaboh, Indonesia",4.7
"False Pass, Alaska",0.54
"Madang, Papua New Guinea",4.2
"Clayton, CA",0.94
"Utuado, Puerto Rico",3.12
"Cobb, CA",0.85
"Searles Valley, CA",0.83
"Westbrook, Texas",2.8
"Cobb, CA",0.96
"West Yellowstone, Montana",1.05
"Pāhala, Hawaii",2.00999999
"False Pass, Alaska",0.49
"Whites City, New Mexico",1.9
"Akureyri, Iceland",4.4
"Nikiski, Alaska",2.1
"Glacier, Washington",1.47
"Idyllwild, CA",1.0
"Geysers, CA",0.93
"Karluk, Alaska",-0.49
"Whites City, New Mexico",1.5
"Mina, Nevada",1.5
"Geysers, CA",0.77
"Aleneva, Alaska",0.0
"Saipan, Northern Mariana Islands",5.0
"Anza, CA",1.02
"Geysers, CA",0.48
"Geysers, CA",1.13
"Geysers, CA",-0.08
"Lake Isabella, CA",1.26
"Whites City, New Mexico",1.6
"Whites City, New Mexico",1.8
"Hinatuan, Philippines",5.6
"Cobb, CA",0.48
"Clinton, Tennessee",2.24
"Ridgeway, Alaska",1.7
"Orinda, CA",0.95
"Hidden Valley Lake, CA",1.36
"Cabazon, CA",1.21
"King Cove, Alaska",0.41
"King Cove, Alaska",1.09
"Geysers, CA",0.89
"Ouzinkie, Alaska",2.6
"Hope, Alaska",2.0
